Index	Name_Teigtasche	Name_Landesprache	Landesindex	Zubereitungsart	Beschaffenheit	Verspeisungsart	Besonderes	Info	Link	Description
10	Argentinische Empanadas	Empanadas argentinas 	9	gebacken	Teigtasche	Pur_ mit Dipp	na	Argentinische version der berühmten Teigtasche	https://puramanteca.de/argentinische-empanadas/	Argentinische Empanadas sind gefüllte Teigtaschen_ die je nach Region mit einer Vielzahl von Zutaten wie Rindfleisch_ Huhn_ Zwiebeln_ Oliven oder Eiern gefüllt werden. Der Teig wird zu kleinen Taschen geformt und entweder gebacken oder frittiert_ bis er goldbraun und knusprig ist. Empanadas sind ein beliebter Snack oder ein herzhaftes Gericht in Argentinien_ oft serviert bei Feierlichkeiten oder als Appetizer.
11	Armenische Manti	մանթի	10	dampfgegart / gebacken	Teigtasche	Mit joghurt und Minze	na	Armenische version des Manti	https://www.nationalgerichtrezepte.de/nationalgericht-armenien-manti-rezept/	Armenische Manti sind kleine Teigtaschen_ die mit einer Mischung aus gewürztem Hackfleisch_ Zwiebeln und Kräutern gefüllt sind. Sie werden traditionell gedämpft oder gekocht und oft mit einer Joghurt- oder Tomatensauce serviert. Manti sind ein beliebtes Gericht in Armenien und anderen Teilen des Kaukasus_ bekannt für ihre zarte Textur und den herzhaften Geschmack.
12	Boraki	Թաթար բորակի	10	dampfgegart  / gebraten	gefülter Dumpling	geschmolzene Butter_ Sauerrahm	oben Offen	Armenische Teigtasche	https://kochgenossen.com/kommandosache-teigtascherl-boraki/	Armenische Boraki sind knusprige Teigtaschen_ die mit einer würzigen Füllung aus Hackfleisch_ Zwiebeln und Gewürzen gefüllt sind. Der Teig wird dünn ausgerollt und die Taschen werden dann gebacken oder frittiert_ bis sie goldbraun und knusprig sind. Boraki sind ein beliebtes Gericht in Armenien_ das sowohl als Snack als auch als Hauptgericht serviert wird und für seinen herzhaften Geschmack geschätzt wird.
13	Shekerbura 	şəkərbura	11	gebacken	süßs gebäck	Pur	Ikonische Speise des Novruz Festes	Aserbaidschan Süßsgebäck	https://gastrosofie.com/shekerbura-suesse-teigtaschen-aus-aserbaidschan/	Shekerbura ist ein traditionelles süßes Gebäck aus der aserbaidschanischen Küche_ das aus zarten Teigblättern besteht und mit einer Füllung aus gemahlenen Nüssen_ Zucker und Gewürzen wie Kardamom gefüllt wird. Das Gebäck wird in einer Halbmondform geformt und im Ofen goldbraun gebacken. Shekerbura ist besonders zu festlichen Anlässen und Feiertagen beliebt_ und wird für seine süße_ aromatische Füllung und die knusprige Textur geschätzt.
14	Qutab 	Qutab	11	gebraten 	gefüllter Fladen	Pur_ mit Ayran	na	Traditionelle Aserbaidschanische Teigtasche	https://www.kochbar.de/rezept/275371/Kutab-s.html	Qutab ist ein beliebtes Gericht aus der aserbaidschanischen Küche_ das aus dünnem Teig besteht_ der mit verschiedenen Füllungen wie Hackfleisch_ Käse_ Spinat oder Kürbis gefüllt wird. Die Teigtaschen werden zusammengeklappt und leicht gebraten_ bis sie goldbraun und knusprig sind. Qutab wird oft mit Joghurt oder einer speziellen Sauce serviert und ist für seinen herzhaften Geschmack und die zarte Textur bekannt.
15	Äthiopische Sambusa	ሳምቡሳ	12	fritiert	Gefüllte fritierte Teigtasche	Pur_ mit Dipp	na	Äthiopische version der Samosa	https://www.creatable.de/rezept/aethiopische-sambusa/	Äthiopische Sambusa sind knusprige Teigtaschen_ die mit einer würzigen Füllung aus Linsen_ Gemüse oder Hackfleisch gefüllt sind. Sie werden frittiert und sind ein beliebter Snack oder Appetizer in Äthiopien und anderen Teilen Ostafrikas. Sambusa sind für ihren intensiven Geschmack und die knusprige Textur bekannt_ und werden oft mit scharfen Saucen oder Dips serviert.
16	Australische Meat pies	Meat Pies	13	gebacken	Meat Pie	Pur	na	Meat Pie nach australischer Art	https://www.swissmilk.ch/de/rezepte-kochideen/rezepte/LM200904_83/australische-meat-pies/	Australische Meat Pies sind herzhafte Pasteten_ die mit einer Füllung aus gewürztem Rindfleisch_ Zwiebeln und einer dicken Soße gefüllt sind. Der Teig wird zu kleinen Pies geformt und dann im Ofen gebacken_ bis er goldbraun und knusprig ist. Diese beliebten Snacks in Australien werden oft als Mittagessen oder Snack serviert und sind bekannt für ihren herzhaften Geschmack und die zufriedenstellende Textur.
17	Dimmies_Chiko Roll	Chiko Roll	13	fritiert	wie eine Frühlingsrolle	als Snack gedacht	na	Australische Wersion einer Frühlingsrolle	https://magentratzerl.de/2021/05/14/teigtasche-des-monats-dimmies-australische-dim-sun/	Der Chiko Roll ist ein beliebter australischer Snack_ der aus einem knusprigen Teigmantel besteht_ der mit einer Füllung aus Gemüse_ Hackfleisch und Gewürzen gefüllt ist. Er wurde ursprünglich als tragbare Version von Frühlingsrollen entwickelt und ist für seine herzhafte_ leicht würzige Füllung bekannt. Chiko Rolls werden frittiert und sind in Australien besonders beliebt bei Festivals oder als schneller Imbiss_ der oft mit verschiedenen Saucen serviert wird.
18	Conch fritters	Conch fritters	14	fritiert	in Backteig fritierte Seeschnecke	mit Dipp	na	Fastfood von den Bahamas	https://www.nationalgerichtrezepte.de/nationalgericht-bahamas-conch-fritters-rezept/	Conch Fritters sind ein beliebtes Gericht aus der karibischen Küche_ das aus zarten Stücken von Meeresschnecke (Conch) besteht_ die in einem gewürzten Teig gehüllt und dann frittiert werden. Diese knusprigen Bissen sind außen goldbraun und innen saftig_ oft serviert mit einer scharfen Sauce oder Limette. Conch Fritters sind ein beliebter Snack oder Appetizer in den Bahamas und anderen karibischen Inseln_ bekannt für ihren einzigartigen Geschmack und ihre köstliche Textur.
19	Samboosa 	سمبوسك	15	fritiert	Gefüllte fritierte Teigtasche	Pur_ mit Dipp	na	Samosa aus Bahrain	https://www.nationalgerichtrezepte.de/nationalgericht-bahrain-samboosa-rezept/	Samboosa aus Bahrain sind knusprige Teigtaschen_ die mit einer würzigen Füllung aus Hackfleisch_ Gemüse oder Linsen gefüllt sind. Sie werden frittiert und sind ein beliebter Snack oder Appetizer in Bahrain und anderen Teilen des Nahen Ostens. Samboosa sind bekannt für ihren intensiven Geschmack und die knusprige Textur_ oft serviert mit scharfen Saucen oder Joghurt als Dip.
20	Puchka 	ফুচকা	16	fritiert	wie die Indische version nur vor fritiren gefüllt	Mit gewürtem Wasser oder Dipp	na	Bangladesch Version eines Typisch Indischen STreetfood	https://www.nationalgerichtrezepte.de/nationalgericht-bangladesch-puchka-rezept/	Pucka aus Bangladesch sind köstliche_ frittierte Teigtaschen_ die mit einer würzigen Füllung aus Hackfleisch_ Gemüse oder Linsen gefüllt sind. Diese kleinen Snacks sind außen knusprig und innen saftig_ oft gewürzt mit einer Vielzahl von Gewürzen wie Kreuzkümmel und Koriander. Pucka ist ein beliebtes Streetfood in Bangladesch_ das für seinen intensiven Geschmack und seine leckere Textur geschätzt wird_ besonders als Snack oder Appetizer.
21	Bajan Coconut Turnovers	Bajan Coconut Turnovers	17	gebacken	wie kleine gefüllte Brote	Pur	na	Süßspeise aus Barbados	https://www.nationalgerichtrezepte.de/nationalgericht-barbados-bajan-coconut-turnovers-rezept/	Bajan Coconut Turnovers sind köstliche_ frittierte Teigtaschen aus Barbados_ die mit einer süßen Füllung aus geraspelter Kokosnuss_ Zucker und Gewürzen wie Zimt gefüllt sind. Der Teig wird zu kleinen Taschen geformt und goldbraun frittiert_ wodurch sie eine knusprige Textur und eine aromatische_ süße Füllung erhalten. Diese Leckerei ist ein beliebter Snack oder Dessert in Barbados und wird für ihren tropischen Geschmack und die zarte Kombination von Kokosnuss und Teig geschätzt.
22	Conch fritters	Conch fritters	17	fritiert	in Backteig fritierte Seeschnecken	mit Dipp	na	Ebenfalls auf Barbados beliebt_ so wie in der ganzen Karibik	https://www.nationalgerichtrezepte.de/nationalgericht-barbados-conch-fritters-rezept/	Conch Fritters sind ein beliebtes Gericht aus der karibischen Küche_ das aus zarten Stücken von Meeresschnecke (Conch) besteht_ die in einem gewürzten Teig gehüllt und dann frittiert werden. Diese knusprigen Bissen sind außen goldbraun und innen saftig_ oft serviert mit einer scharfen Sauce oder Limette. Conch Fritters sind ein beliebter Snack oder Appetizer auf Barbados und anderen karibischen Inseln_ bekannt für ihren einzigartigen Geschmack und ihre köstliche Textur.
23	Chaya Empanadas	Empanada de chaya	19	fritiert	Empanada	mit Dipp	na	Vegetarische variante der Empanada	https://www.nationalgerichtrezepte.de/nationalgericht-belize-chaya-empanadas-rezept/	Chaya Empanadas sind eine leckere Variante der klassischen Empanadas_ die mit Chaya_ einem nährstoffreichen Blattgemüse_ gefüllt sind. Diese Empanadas sind besonders in Teilen Mittelamerikas beliebt und zeichnen sich durch ihre herzhafte Füllung aus_ die oft mit Zwiebeln_ Gewürzen und manchmal auch Käse oder Fleisch kombiniert wird. Der Teig wird knusprig gebacken oder frittiert_ was den Empanadas eine köstliche Textur verleiht. Chaya Empanadas sind ein beliebter Snack oder leichtes Hauptgericht_ das für seinen frischen_ grünen Geschmack und die zarte Kombination von Zutaten geschätzt wird.
24	Pâté aus Benin	Pâté béninois	20	fritiert	eine Teigtasche die üblicherweise entweder mit Hack_ FIsch oder gemüse gefüllt wird	Fingerfood	na	fritierte Teigtasche aus Afrika	https://cevichetrifftfischstaebchen.de/zum-nachkochen/gefuellte-teigtaschen-aus-benin-pate-und-gibt-es-typisch-afrikanisch/	Pâté aus Benin sind herzhafte Teigtaschen_ die mit einer würzigen Füllung aus Hackfleisch_ Fisch oder Gemüse gefüllt sind. Sie werden meist frittiert_ bis sie goldbraun und knusprig sind. Pâté ist ein beliebter Snack oder Streetfood in Benin und anderen westafrikanischen Ländern und wird oft mit einer scharfen Sauce oder Dip serviert. Diese köstlichen Bissen sind für ihren intensiven Geschmack und die knusprige Textur bekannt.
25	Momos aus Buthan	म:म:_ མོག་མོག་	21	dampfgegart 	gefüllter Dumpling	Pur	ursprung in Tibet	Bhutanische version der Tibetischen Momos	https://www.chefkoch.de/rezepte/219861091435664/Tibetische-Momos.html	Momos aus Bhutan sind gedämpfte oder frittierte Teigtaschen_ die mit einer würzigen Füllung aus Hackfleisch_ Gemüse oder Käse gefüllt sind. Sie sind ein beliebtes Gericht in Bhutan und in anderen Teilen des Himalaya-Raums. Die Teigtaschen werden oft mit einer scharfen_ aromatischen Sauce serviert_ die ihren Geschmack perfekt ergänzt. Momos sind bekannt für ihre zarte Textur und die köstliche Kombination aus weichem Teig und würziger Füllung.
26	Salteñas	Salteñas	22	gebacken	Empanada	na	gebacken stat frititert	Bolivische version der Empanada	https://latin-mag.com/das-original-rezept-fuer-bolivianische-saltenas/	Salteñas sind traditionelle bolivianische Teigtaschen_ die mit einer reichhaltigen Füllung aus Fleisch (oft Huhn oder Rind)_ Kartoffeln_ Erbsen und Gewürzen gefüllt sind. Sie zeichnen sich durch ihre saftige_ leicht süßliche Füllung aus_ die in einem weichen_ goldbraunen Teig eingebettet ist. Salteñas werden in der Regel gebacken und sind ein beliebter Snack oder Mittagessen in Bolivien_ oft als Frühstück oder auf Festen serviert. Sie sind bekannt für ihren intensiven Geschmack und die perfekte Balance zwischen würzig und süß.
27	Klepe /  Kulake 	Klepe 	23	gekocht	dreieckige Ravioli	mit Suaerrahm	na	Teigtasche aus Bosnien	https://www.daskochrezept.de/rezepte/kulake-gefuellte-teigtaschen-aus-bosnien	Kelpe aus Bosnien sind kleine_ herzhafte Teigtaschen_ die traditionell mit einer Füllung aus Hackfleisch_ Zwiebeln und Gewürzen gefüllt sind. Der Teig wird zu kleinen Taschen geformt und dann entweder gebacken oder frittiert_ bis sie goldbraun und knusprig sind. Kelpe sind ein beliebtes Gericht in Bosnien und anderen Teilen des Balkans_ das oft als Snack oder Appetizer serviert wird und für seinen würzigen Geschmack und die knusprige Textur geschätzt wird.
28	Sambusak	Samoosas	24	fritiert	Samosa	Pur_ mit Dipp	na	Botswanische version des Samosa	https://www.gutekueche.de/sambusak-rezept-18186	Sambusak aus Botswana sind knusprige_ frittierte Teigtaschen_ die mit einer würzigen Füllung aus Hackfleisch_ Linsen oder Gemüse gefüllt sind. Sie werden oft mit einer Mischung aus Gewürzen wie Kreuzkümmel und Koriander abgeschmeckt_ was ihnen einen einzigartigen Geschmack verleiht. Sambusak sind ein beliebter Snack oder Appetizer in Botswana und anderen Teilen des südlichen Afrika und werden häufig bei Festen oder besonderen Anlässen serviert.
29	Coxinha	coxinha do Brasil	25	fritiert	fritierte Hühnerballen	Pur_ mit Dipp	na	Brasilianisches Fastfood	https://www.gutekueche.de/coxinha-de-galinha-rezept-17630	Coxinha ist ein beliebter Snack aus Brasilien_ der aus Hähnchenfleisch besteht_ das mit Gewürzen und Kräutern zubereitet und dann in Teig gehüllt wird. Die Form ähnelt einem Hähnchenschenkel_ und der Teig wird frittiert_ bis er außen knusprig und goldbraun ist. Coxinha sind bekannt für ihre saftige Füllung und knusprige Textur und werden häufig als Snack oder Appetizer bei Festen oder geselligen Anlässen in Brasilien genossen.
30	Rogowatschki	Pоговачки	27	fritiert	mit Käse gefüllte Teigtasche	na	Käsefüllung	Bulgarische Teigtasche mit Käsefüllung	https://caroskueche.de/bulgarische-teigtaschen/	Rogowatschki sind traditionelle_ gefüllte Teigtaschen aus der osteuropäischen Küche_ die oft mit einer Mischung aus Hackfleisch_ Zwiebeln und Gewürzen gefüllt sind. Der Teig wird zu kleinen Taschen geformt und dann gebacken oder frittiert_ bis sie goldbraun und knusprig sind. Rogowatschki sind ein beliebter Snack oder Appetizer_ der für seinen herzhaften Geschmack und die knusprige Textur geschätzt wird.
31	Sambusak	Samoza	29	fritiert	Fritierte gefüllte Teigtasche	Pur_ mit Dipp	na	Samosa aus Burundi	https://www.bennimmv.de/wp-content/uploads/2020/03/Rezeptkartensammlung_Sambussa_Burundi.pdf	Sambusak aus Burundi sind knusprige_ frittierte Teigtaschen_ die mit einer würzigen Füllung aus Hackfleisch_ Gemüse oder Linsen gefüllt sind. Diese Teigtaschen sind in Burundi und anderen Teilen Ostafrikas sehr beliebt und werden oft als Snack oder Appetizer serviert. Sambusak zeichnen sich durch ihren intensiven Geschmack_ ihre knusprige Textur und die köstliche Kombination von Gewürzen aus_ die sie zu einem geschätzten Gericht machen.
32	Empanadas	Empanadas chilenas	30	gebacken	Empanada aus Chile	na	na	Empanada aus Chile	https://www.dieweinboerse.de/blog/rezept-empanadas-chilenas	Empanadas aus Chile sind köstliche_ gefüllte Teigtaschen_ die mit einer Vielzahl von Zutaten wie Rindfleisch_ Zwiebeln_ Eiern_ Oliven und manchmal auch Rosinen gefüllt sind. Sie werden entweder gebacken oder frittiert_ bis der Teig goldbraun und knusprig ist. Empanadas sind ein beliebtes Gericht in Chile_ das oft als Snack oder Hauptgericht bei Festen und besonderen Anlässen serviert wird. Sie sind für ihren herzhaften Geschmack und die perfekte Balance von Zutaten bekannt.
33	Frühlingsrolle	春捲	31	fritiert	Frühlingsrolle	mit Dipp	na	Chinesiche Frühöingsrolle	https://www.chefkoch.de/rezepte/1054511210486367/Fruehlingsrollen.html	Frühlingsrollen sind knusprige Teigtaschen_ die traditionell mit einer Füllung aus Gemüse_ Fleisch oder Garnelen gefüllt sind. Der Teig wird dünn ausgerollt und die Füllung wird eingerollt_ bevor die Rollen frittiert oder gebacken werden_ bis sie goldbraun und knusprig sind. Frühlingsrollen sind ein beliebter Snack oder Appetizer in vielen asiatischen Ländern und werden oft mit einer süß-sauren oder scharfen Sauce serviert_ um den Geschmack zu verstärken.
34	Lotussamenbrötchen	蓮蓉包	31	dampfgegart	mt Lotussamenpaste gefüllte Teigtasche	Pur	na	Chinesische Teigtasche aus der Kategorie Baozi	https://www.everybunnyeats.com/shoutao-lian-rong-bao-longevity-peach-lotus-paste-steamed-buns/	Lotussamenbrötchen sind köstliche_ süße Teigtaschen_ die mit einer Füllung aus gemahlenen Lotussamen und Zucker gefüllt sind. Der Teig wird in kleine Brötchen geformt und dann gebacken_ bis sie goldbraun und zart sind. Diese Brötchen sind besonders in der chinesischen und asiatischen Küche beliebt_ bekannt für ihre sanfte Süße und die angenehme Textur der Lotussamenfüllung. Sie werden oft als Dessert oder Snack bei Festen und besonderen Anlässen serviert.
35	Xiaolongbao	小籠包	31	dampfgegart	mit Fleisch und Brühe gefüllt	Pur	Suppendumpling	Chinesiche Teigtasche aus der Kategorie Guantangbao aus der Kategoria Baozi	https://www.avocadobanane.com/xiao-long-bao/	Xiaolongbao sind kleine_ dampfgegarte Teigtaschen_ die traditionell mit einer Füllung aus gewürztem Schweinefleisch und einer heißen Brühe gefüllt sind. Der Teig ist dünn und zart_ und beim Beißen fließt die aromatische Brühe heraus_ was sie besonders saftig und lecker macht. Xiaolongbao sind besonders in der chinesischen Küche beliebt_ vor allem in Shanghai_ und werden oft als Snack oder leichtes Gericht serviert_ das mit Sojasauce und Essig genossen wird.
36	Dousha Dabao	豆沙大包	31	dampfgegart	mit süßer Bohnenpastenfüllung	Pur	na	Chinesischer süßer Baozi	https://m.xiachufang.com/recipe/104280425/	Dousha Dabao sind traditionelle chinesische Teigtaschen_ die mit einer süßen Füllung aus roten Bohnenpaste gefüllt sind. Der Teig ist weich und leicht_ und die Teigtaschen werden gedämpft_ bis sie zart und flauschig sind. Dousha Dabao sind ein beliebtes Dessert oder Snack in der chinesischen Küche_ besonders während des chinesischen Neujahrsfestes oder bei anderen festlichen Anlässen. Sie sind bekannt für ihre süße_ angenehme Füllung und die weiche Textur.
37	Chashaobao	叉燒包	31	dampfgegart	mit gegrilltem Schweinefleisch gefüllt	Pur	na	Chinesiache herzhafte Baozi	https://tingtingsnest.com/chashao-bao-cha-siu-bao/	Chashaobao sind chinesische Teigtaschen_ die mit einer süßen und salzigen Füllung aus schwarzem Sesam und Zucker gefüllt sind. Der Teig ist weich und leicht_ und die Teigtaschen werden gedämpft_ bis sie zart und flauschig sind. Chashaobao sind besonders in der chinesischen Dim-Sum-Kultur beliebt_ und werden oft als Snack oder Dessert serviert. Sie zeichnen sich durch ihren einzigartigen Geschmack aus_ der die süße Sesamfüllung perfekt mit dem weichen Teig kombiniert.
38	Jiaozi	餃子	31	gekocht	Chinesiche urversion der Gyoza	mit Dipp	Ursprung der Gyoza	Chinesiche Teigtasche	https://www.kitchenstories.com/de/rezepte/chinesische-jiaozi-dumplings-mit-schweinefleisch-fullung	Jiaozi sind traditionelle chinesische Teigtaschen_ die mit einer Vielzahl von Füllungen wie Hackfleisch_ Gemüse oder Garnelen gefüllt sind. Der Teig wird zu kleinen Taschen geformt_ die dann entweder gedämpft_ gekocht oder gebraten werden. Jiaozi sind besonders während des chinesischen Neujahrsfestes beliebt_ und sie sind für ihren herzhaften Geschmack und die zarte Textur bekannt. Oft werden sie mit Sojasauce oder Essig serviert_ um den Geschmack zu verstärken.
39	Shuijing Xiajiao	水晶蝦餃	31	dampfgegart	aus transparentem Teig mt Garnele	Pur_ mit Dipp	transparenter Teig	Chinesiche Teigtasche mit Garnelenfüllung	https://cookidoo.at/recipes/recipe/de-AT/r313514	Shuijing Xiajiao sind chinesische Teigtaschen_ die mit einer Mischung aus Garnelen und Gewürzen gefüllt sind. Der Teig ist dünn und zart_ und die Teigtaschen werden gedämpft_ wodurch sie weich und saftig werden. Shuijing Xiajiao sind besonders in der südlichen chinesischen Küche beliebt_ und werden oft als Teil eines Dim-Sum-Menüs serviert. Diese delikaten Teigtaschen zeichnen sich durch ihren frischen Meeresfruchtgeschmack und die weiche Textur aus.
40	Ganzheng Shaomai	乾蒸燒賣	31	dampfgegart	gefüllt mit Garnelen Pilzen und Fleisch		oben offen	Chinesiche Teigtasche	https://www.gusto.at/rezepte/siu-mai-dumplings	Ganzheng Shaomai sind traditionelle chinesische Teigtaschen_ die mit einer Füllung aus gewürztem Schweinefleisch_ Pilzen und Reis gefüllt sind. Der Teig ist weich_ und die Teigtaschen werden gedämpft_ bis sie zart und leicht klebrig sind. Ganzheng Shaomai sind besonders in der Dim-Sum-Kultur beliebt_ und sie zeichnen sich durch ihre herzhafte_ aromatische Füllung und die weiche Textur aus. Sie werden oft mit Sojasauce oder Essig serviert_ um ihren Geschmack zu verstärken.
41	Wan Tan	餛飩	31	dampfgegart / gekocht / fritiert	Wan Tan	Pur_ in Suppe_ mit Dipp	drei zubereitungs Arten	Chinesiche Teigtasche	https://www.kochbar.de/rezept/524838/Wan-Tan-Teig-und-Fuellung.html	Wan Tan sind traditionelle chinesische Teigtaschen_ die mit einer Füllung aus Hackfleisch_ Garnelen oder Gemüse gefüllt sind. Der Teig ist dünn und zart_ und die Teigtaschen werden entweder in Brühe gekocht oder frittiert_ bis sie goldbraun und knusprig sind. Wan Tan sind besonders in der chinesischen Küche beliebt_ vor allem in der Suppe oder als Snack. Sie zeichnen sich durch ihre zarte Textur und die saftige Füllung aus_ und werden oft mit einer würzigen Sauce serviert.
